"Paper_ID","Authors_and_Year","Publication_Venue","Target_Population_and_Region","Sample_Size","Primary_Objective","Burnout_Mental_Health_Tool","Digital_Wellbeing_Passive_Indicators","Self_Reported_Survey_Indicators","ML_Algorithms_Evaluated","Best_Performing_Model_and_Metrics","XAI_Interpretability_Techniques","Personalized_Recommendations","Actionable_System_Features","Main_Strengths","Key_Limitations","Unaddressed_Research_Gaps"
"P025","Ariel Pizarro-Monjes, David Vicente Rodríguez-Pavez, Alejandro Hugo Pérez-Zúñiga, Marcos Ignacio Rivas-Ojeda, Rocío Glaría-López, Cristhian Pérez-Villalobos, Berta Schulz, Paulina Ortega-Bastidas, Juan Francisco Hernández-Quidel (2026)","BMC Medical Education","Undergraduate health sciences students (Medicine, Physical Therapy, Pharmaceutical Chemistry, Speech Therapy) | Chile","879","To examine the association of academic burnout levels with specific sociodemographic and academic characteristics among health sciences students at a Chilean university.","Maslach Burnout Inventory–Student Survey (MBI-SS), measuring Emotional Exhaustion (EE), Depersonalization (DP), and Lack of Personal Accomplishment (LPA).","None used.","Sociodemographic and academic characteristics including gender, age, paid employment, course failure, graduating institution type (public, subsidized, private), and year of study.","None. The study relied on traditional inferential statistics, specifically multiple linear regression models, Mann-Whitney U tests, Kruskal-Wallis H tests, and Spearman’s Rho.","The multiple linear regression models accounted for modest variances in the burnout subscales: 10.5% for Emotional Exhaustion (EE), 5.8% for Lack of Personal Accomplishment (LPA), and 10.2% for Depersonalization (DP). Notably, being female was a strong predictor of EE, while male gender and paid employment predicted higher DP.","None / Not Applicable. (Interpretability relies on standard white-box regression coefficients).","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study recommends institutional and curricular strategies, such as: (1) strengthening professional exposure and coping tools during pre-clinical years (years 1-3) to prepare students for the clinical transition in year 4; (2) providing targeted support to compensate for educational disadvantages based on high school background; and (3) employing gender-specific psychological interventions, given that men tend to evade (DP) while women experience emotional depletion (EE).","Large sample size covering a diverse range of health science programs, not just medical students (e.g., Speech Therapy, Pharmaceutical Chemistry); effectively highlights the highly gendered and program-specific manifestations of burnout (EE vs. DP).","Cross-sectional design prevents the establishment of causality; non-probabilistic quota sampling method and restriction to a single university in Chile limit broad generalizability.","Complete reliance on a self-administered questionnaire without any objective behavioral indicators or passive digital logging; absence of predictive Machine Learning (ML) models and Explainable AI (XAI) to track burnout trajectories; while it provides data from a Latin American context, it lacks cross-regional applicability to other LMICs like Bangladesh."
"P026","Nils Olson, Renate Oberhoffer-Fritz, Barbara Reiner, Thorsten Schulz (2025)","BMC Psychology","University students across five academic disciplines (Informatics, Mechanical Engineering, Sports/Health Sciences, Medicine, Economic Sciences) | Bavaria, Germany (Technical University of Munich)","947","To investigate and compare the prevalence of stress, burnout, and study engagement across different academic majors, specifically challenging the prevalent assumption that medical students are the most vulnerable group.","Maslach Burnout Inventory Short Form for Students (MBI-SS). The study also utilized the Utrecht Work Engagement Scale for Students (UWES-S 9) and the Perceived Stress Scale (PSS-10).","None used.","Sociodemographic factors (age, gender), academic faculty affiliation, number of semesters studied, self-reported academic workload (weekly hours), occupational working hours (side-jobs), and study satisfaction.","None. The study employed traditional inferential statistics, specifically Analysis of Variance (ANOVA/Welch-ANOVA), pairwise comparisons (Tukey's test), and binary logistic regression using SPSS.","The binary logistic regression identified significant predictors for burnout dimensions. For example, higher study satisfaction significantly reduced the odds of emotional exhaustion (OR = 0.702), while increased academic workload slightly increased the odds of cynicism (OR = 1.013) but also increased study engagement (OR = 1.014).","None / Not Applicable. (Interpretability relies on standard white-box logistic regression Odds Ratios).","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study recommends institutional interventions: moving away from a ""one-size-fits-all"" approach to mental health, implementing tailored stress management courses specific to different faculties (especially for Informatics and Engineering students who showed the highest burnout), and focusing on fostering overall study satisfaction rather than merely attempting to eliminate academic stressors.","Successfully broadens the scope of student burnout research beyond the medical/nursing fields, providing a direct, empirical comparison across multiple disciplines; highlights the often-overlooked high burnout rates among Informatics and Engineering students; examines both negative (burnout) and positive (engagement) academic paradigms.","Cross-sectional design prevents the establishment of temporal or causal relationships; the very low response rate (~10%) raises concerns about self-selection bias; relies entirely on subclinical self-assessments rather than clinical diagnoses.","Complete absence of objective behavioral data, such as passive digital logging, to verify self-reported metrics like weekly study hours or sleep; lack of predictive Machine Learning (ML) models or Explainable AI (XAI) frameworks; geographically restricted to a single high-income European country (Germany), leaving gaps regarding LMICs such as Bangladesh."
"P027","Yuhei Hara, Shota Furuta, Ayako Sukegawa, Koichiro Fujimaki, Shinya Hisano (2026)","BMC Psychology","Students (Elementary school through University) | Global (Systematic Review)","44 studies included (evaluating 33 distinct self-report measures)","To systematically identify and evaluate the methodological quality and psychometric properties of existing self-report instruments used to measure student burnout, utilizing the rigorous COSMIN guidelines.","The study evaluated 33 tools, prominently including various adaptations of the Maslach Burnout Inventory (MBI-SS), the Burnout Assessment Tool (BAT-C, S-BAT), the Oldenburg Burnout Inventory (OLBI-S), and the School Burnout Inventory (SBI).","None used.","The study evaluated the structural validity, internal consistency, content validity, cross-cultural validity, and measurement invariance of the self-reported survey instruments themselves.","None. This was a systematic review of psychometric tools evaluating measurement properties using the COSMIN risk-of-bias checklist.","None / Not Applicable. Strikingly, the review found that exactly ZERO (0) instruments currently meet the COSMIN criteria to be recommended for use, primarily due to inadequate content validity.","None / Not Applicable.","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study makes a strong methodological recommendation: researchers must stop relying on occupational burnout adaptations (like the MBI-SS) and urgently prioritize the de novo development of student-specific burnout measures. This must begin with rigorous content validity studies involving in-depth qualitative interviews with students to accurately capture their lived experiences.","Highly rigorous methodology adhering strictly to PRISMA and COSMIN guidelines; exposes a massive foundational flaw in current student burnout research (the lack of valid measurement tools); highlights that newer tools (like BAT-C) have superior structural validity compared to older tools (MBI).","The review excluded non-English publications, which likely excluded valid instruments from other linguistic and cultural contexts; potential publication bias where studies showing poor psychometric properties are not published; the reviewers lacked specialized formal training in COSMIN application.","The review identifies a complete absence of data on ""responsiveness"" and ""measurement error"" in existing tools, severely limiting their use in longitudinal tracking or intervention testing. Furthermore, as a review of psychological surveys, it highlights the field's total reliance on subjective self-reporting, emphasizing the unaddressed gap of using objective, passive digital logging to measure burnout. It also lacks any integration of predictive Machine Learning (ML) or Explainable AI (XAI), and by excluding non-English studies, it likely underrepresents LMIC contexts (e.g., Bangladesh)."
"P028","Hao Zhang, Yanchao Yang, Ying Zhang, Baishuang Qiu, Jiongzhao Yang (2026)","BMC Psychology","University students with programming learning experiences | China (Multiple universities)","1,295","To develop and validate a domain-specific instrument—the Scale of Generative AI Dependency on Programming among University Students—to systematically measure students' cognitive, affective, and behavioral reliance on GenAI tools.","The newly developed ""Scale of Generative AI Dependency on Programming"" (based on the ABC model: Affect, Behavior, Cognition). A previously established ""Generative Artificial Intelligence Dependency Scale"" was used to test criterion-related validity.","None used.","Self-reported GenAI dependency across three dimensions: Affect (e.g., anxiety/uneasiness when AI is unavailable), Cognition (e.g., belief that AI-generated code is superior to own code), and Behavior (e.g., unconsciously turning to AI even for simple tasks). Demographic variables included gender and birthplace (urban/rural).","None. The study relied on traditional psychometric scale development techniques, including Exploratory Factor Analysis (EFA) using SPSS and Confirmatory Factor Analysis (CFA) using the CB-SEM module in SmartPLS.","The proposed 3-factor CFA model demonstrated a good fit to the data (RMSEA = 0.070, CFI = 0.981, TLI = 0.976), significantly outperforming a unidimensional 1-factor model. The scale also exhibited strong internal consistency (Cronbach’s α = 0.963).","None / Not Applicable. (Interpretability relies on standard white-box psychometric factor loadings and goodness-of-fit indices).","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study provides researchers and educators with a validated diagnostic tool to monitor GenAI dependency, aiming to inform future instructional designs and intervention strategies that balance the use of AI with the development of independent computational thinking and coding confidence.","Addresses a highly contemporary educational challenge (GenAI dependence vs. addiction) with a domain-specific tool tailored specifically for programming students; utilizes a large sample size (N=1,295); strongly grounded in the theoretical ABC (Affect, Behavior, Cognition) framework.","Test-retest reliability was not assessed, leaving the temporal stability of the scale unverified; initial scale items were generated from interviews with instructors rather than the students themselves; convenience sampling via WeChat/QQ groups may limit representativeness.","Complete reliance on self-report questionnaires which are susceptible to social desirability bias (students underreporting their reliance on AI). The authors explicitly call for future studies to integrate objective behavioral data (e.g., IDE behavioral logs, system usage records, learning analytics); absence of predictive Machine Learning (ML) models or Explainable AI (XAI); lacks cross-cultural validation in contexts like Bangladesh (an LMIC)."
"P029","Rasikh Tariq, M. G. Orozco-del-Castillo, Muhammad Tayyab Zamir, Maria Soledad Ramírez-Montoya, Tabbi Wilberforce (2025)","Scientific Reports (Nature Portfolio)","University students | Mexico","1,100","To develop a cost-effective, survey-based machine learning classification model for student stress detection, utilizing eXplainable Artificial Intelligence (XAI) to ensure transparent and actionable institutional decision-making.","A custom survey predicting discrete stress levels (0 = low, 1 = medium, 2 = high).","None used.","21 features spanning five domains: Psychological (anxiety level, self-esteem, mental health history, depression), Physiological (headache, blood pressure, sleep quality, breathing problems), Social (peer pressure, teacher-student relationship, extracurricular activities, social support, bullying), Environmental (noise level, living conditions, safety, basic needs), and Academic (academic performance, study load, future career concerns).","Logistic Regression, Support Vector Machine (SVM), Decision Tree, Random Forest, Gradient Boosting, and XGBoost.","Random Forest achieved the most balanced high performance with an Accuracy of 0.88, Precision of 0.88, Recall of 0.88, and F1-Score of 0.88. Logistic Regression and SVM also performed comparably well (Accuracy = 0.89).","SHAP (SHapley Additive exPlanations) and traditional Feature Importance plots were heavily utilized to unpack the ""black-box"" models. SHAP analysis revealed that self-reported blood pressure, perceived safety, sleep quality, teacher-student relationships, and extracurricular activities were the top predictors of stress.","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study recommends using the XAI insights to drive institutional policy changes, specifically: implementing campus health monitoring (focusing on sleep hygiene and blood pressure), improving campus safety protocols, funding extracurricular clubs to build social networks, and training faculty in relational pedagogy to improve teacher-student dynamics.","Superb use of modern Explainable AI (SHAP) to interpret ML models, allowing for targeted policy recommendations; utilizes a highly multidimensional dataset (21 features across 5 life domains).","The article has been formally retracted. Additionally, it relies on self-reported physiological markers (e.g., asking students to self-report their blood pressure), which lacks clinical validity compared to actual sensor data; cross-sectional design prevents causal tracking.","Despite its data-driven approach, it completely lacks objective, passive digital logging (e.g., smartphone usage or wearable sensor data), relying entirely on subjective self-report questionnaires. The study highlights the need for longitudinal tracking to understand the temporal dynamics of stress."
"P030","Chao Jin, Wen Long, Linna Wang, Zhikang Liu, Liangliang Sun (2026)","Scientific Reports (Nature Portfolio)","College students | Shandong Province, China","677","To explore the structural relationship between mobile phone addiction and academic burnout, specifically investigating the mediating role of learning engagement and the moderating role of physical exercise.","Maslach Burnout Inventory-Student Survey (MBISS) (Chinese revised version, assessing emotional exhaustion, cynicism, and inefficacy).","None used.","Mobile phone addiction (Mobile Phone Dependence Index Scale - MPDIS), learning engagement (Utrecht Work Engagement Scale-Student - UWES-S), academic burnout (MBISS), and physical exercise volume (Physical Exercise Rating Scale - PARS-3). Demographic covariates included gender and grade.","None. The study relied on traditional statistical modeling, utilizing the PROCESS macro (Models 4 and 7) in SPSS for mediation and moderated mediation analyses.","The moderated mediation model demonstrated that mobile phone addiction positively predicts academic burnout. Learning engagement acts as a significant mediator, accounting for 20.7% of the total effect. Furthermore, physical exercise acts as a significant moderator; high levels of physical exercise effectively neutralize the negative impact of mobile phone addiction on learning engagement.","None / Not Applicable. (Interpretability relies on standard white-box regression coefficients and mediation/moderation effect sizes).","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study provides structural recommendations: universities should implement digital well-being education focusing on cognitive-behavioral self-regulation, enhance campus network management, and strictly enforce physical fitness programs to help students restore cognitive resources depleted by excessive mobile phone use.","Successfully integrates physical activity as a protective moderating variable against the cognitive depletion caused by mobile phone addiction; utilizes a robust moderated mediation statistical framework grounded in Cognitive Load Theory and Conservation of Resources Theory.","The cross-sectional design precludes establishing definitive causality; data collected from a single province limits national and international generalizability; reliance on self-report questionnaires exposes the findings to social desirability bias (e.g., overreporting exercise or underreporting phone addiction).","Complete absence of objective behavioral data—such as passive digital logging of actual smartphone screen time or objective wearable data for physical exercise tracking; absence of predictive Machine Learning (ML) models or Explainable AI (XAI) frameworks; lacks cross-cultural validation in LMICs outside of China, such as Bangladesh."
"P031","Mst. Nilufar Yasmin, Mohammad Mizanur Rahman, Nusrat Y. Ahmed, Amrin Binte Ahmed, Adisha Dulmini, Muhammad Khairul Alam, Atikur Rahman, Rumana Rois (2026)","Scientific Reports (Nature Portfolio)","University students | Bangladesh","424","To apply an exploratory, explainable machine learning framework to analyze and predict complex patterns of depression, anxiety, and stress among university students in Bangladesh during a period of significant social unrest.","Depression, Anxiety, and Stress Scale (DASS-21) and the Internet Addiction Test (IAT).","None used.","Psychological outcomes (DASS-21), Internet Addiction (IAT), demographic data (gender, university type, academic discipline, BMI), and behavioral/psychosocial variables (e.g., waking up from bad dreams, memory loss symptoms, misbehavior, smoking status, religious activity, Google Classroom usage).","Decision Trees (DT), Random Forests (RF), Support Vector Machines (SVM), Logistic Regression (LR), Adaptive Boosting (AdaBoost), Extreme Gradient Boosting (XGBoost), Light Gradient Boosting Machine (LightGBM), and Artificial Neural Networks (ANN).","The overall predictive performance was relatively modest due to the highly skewed, high-symptom sample. Support Vector Machine (SVM) demonstrated the most stable performance for predicting Depression (Accuracy = 0.696, F1 = 0.787) and Stress (Accuracy = 0.660, F1 = 0.688). XGBoost was selected for Anxiety (Accuracy = 0.715, F1 = 0.819) due to a better balance of sensitivity and specificity.","Highly rigorous use of XAI. Utilized the Boruta algorithm for feature selection, followed by SHAP (SHapley Additive exPlanations) for global feature importance and LIME (Local Interpretable Model-agnostic Explanations) for local, individual-level prediction transparency. Sankey diagrams were also used to visualize feature-outcome associations.","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The authors explicitly state that their explainable ML framework is an exploratory, hypothesis-generating tool for pattern recognition. Because the models largely leveraged overlapping symptomatology (e.g., using ""bad dreams"" to predict ""depression"") rather than independent antecedent risk factors, they strongly advise against deploying this specific model as a clinical screening tool.","Addresses a massive geographical gap by conducting an advanced ML/XAI study specifically in Bangladesh (an LMIC); utilizes state-of-the-art explainability techniques (SHAP and LIME) to demystify black-box ML models; demonstrates acute awareness of the tautological risks in using self-reported symptoms to predict other self-reported symptoms.","Non-probability purposive online sampling during a period of extreme national political unrest (July 2024 student protests) resulted in a highly skewed sample with exceptionally high distress prevalence (e.g., 73.4% severe anxiety), limiting generalizability; cross-sectional design prevents causal inference.","Complete absence of objective behavioral data or passive digital logging. Despite assessing variables like Internet Addiction, sleep quality, and BMI, all data was entirely self-reported. The authors explicitly call for future research to utilize longitudinal tracking to establish temporal inference, which passive sensing could facilitate."
"P032","Munassir Alhamami, Abdulaziz Alrabai (2026)","Humanities & Social Sciences Communications","Undergraduate students in English as a Medium of Instruction (EMI) programs | Saudi Arabia","497","To develop and validate a context-specific 17-item burnout scale tailored for students in English as a Medium of Instruction (EMI) programs, addressing the combined academic and language-related stressors they face.","The newly developed EMI Burnout Scale. It adapts items from the Maslach Burnout Inventory–General Survey for Students (MBI-GS[S]) and the Oldenburg Burnout Inventory (OLBI) to measure Exhaustion, Cynicism, Disengagement, and Academic Efficacy.","None used.","Self-reported EMI Burnout Scale dimensions (Exhaustion, Cynicism, Disengagement, Academic Efficacy). Demographic factors included gender, academic college/discipline, and year of study.","None. The study utilized advanced traditional statistical modeling, specifically Partial Least Squares Structural Equation Modeling (PLS-SEM) using a Reflective–Reflective Higher-Order Construct (R-R HOC) approach via SmartPLS.","The PLS-SEM measurement model demonstrated excellent convergent and discriminant validity (all AVEs > 0.81). The structural model revealed that Exhaustion had the strongest path coefficient (0.955) to overall burnout and the highest predictive relevance (Q²predict = 0.912) and lowest error (RMSE = 0.299).","None / Not Applicable. (Interpretability relies on standard white-box PLS-SEM path coefficients, R² values, and Q²predict metrics).","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study recommends structural educational interventions tailored to EMI students: implementing targeted language support (e.g., continuous proficiency workshops), adopting inclusive teaching strategies (e.g., visual aids, glossaries to lower cognitive load), and embedding mental health resources directly into EMI program structures.","Successfully addresses a unique, high-stress subpopulation (students learning complex material in a second language); develops a highly contextualized psychometric tool; utilizes robust structural equation modeling (PLS-SEM) to validate the scale.","The scale was validated exclusively in Saudi Arabia, meaning its stability in other cultural or linguistic settings is untested; the cross-sectional design prevents assessing the temporal development of burnout; the study did not test for measurement invariance across gender or disciplines.","Relies entirely on self-report questionnaires, missing the opportunity to integrate objective behavioral data via passive digital logging (e.g., tracking late-night LMS activity or assignment writing dynamics to corroborate exhaustion); complete absence of predictive Machine Learning (ML) models or Explainable AI (XAI) frameworks; lacks cross-cultural validation in LMICs outside the Middle East, such as Bangladesh."
"P033","Balázs Jagodics, Éva Szabó (2022)","Trends in Psychology","Undergraduate university students | Hungary","743","To analyze the structure and reliability of the newly developed University Demand-Resource Questionnaire (UDRQ) and to apply the Job Demand-Resource (JD-R) model to predict student burnout.","Maslach Burnout Inventory-Student Survey (MBI-SS) (measuring emotional exhaustion, cynicism, and reduced accomplishment).","None used.","Burnout (MBI-SS), University Demands (work style, mental demands, emotional demands, career choice anxiety, conflict with lecturers), University Resources (possibility of personal development, information, feedback, perceived control, support of lecturers), and demographic factors (age, gender, academic year).","None. The study relied on traditional psychometric and inferential statistics, including Confirmatory Factor Analysis (CFA), Pearson’s correlation, and Structural Equation Modeling (SEM) via JASP.","The Structural Equation Model (SEM) demonstrated a good fit to the data (CFI = 0.984, TLI = 0.983, RMSEA = 0.067). The variables included in the model explained a highly significant proportion of the variance in the burnout symptoms: emotional exhaustion (R^2 = 0.664), cynicism (R^2 = 0.721), and reduced personal accomplishment (R^2 = 0.636).","None / Not Applicable. (Interpretability relies on standard white-box SEM standardized path coefficients).","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study provides structural recommendations for university administration to balance demands and resources: redesigning training programs to lower mental demands, while simultaneously increasing resources through improved lecturer feedback, better support systems, and ensuring students perceive a clear possibility for personal/career development.","Successfully adapts the prominent occupational Job Demand-Resource (JD-R) theoretical framework into the educational context; validates a novel instrument (UDRQ); utilizes rigorous Structural Equation Modeling to demonstrate that resources can counterbalance demands to mitigate burnout.","Cross-sectional data collection prevents the analysis of causal links or developmental trajectories over a student's academic career; convenience sampling limits the generalizability of the findings to the broader student population; lacks objective indicators of academic success (e.g., actual GPA or dropout records).","Complete reliance on subjective self-report questionnaires to measure ""work style"" and ""mental demands,"" neglecting the potential of objective, passive digital logging (e.g., tracking actual study hours or learning management system engagement); total absence of predictive Machine Learning (ML) models or Explainable AI (XAI) frameworks; geographically limited to Hungary (a European country), leaving gaps regarding LMICs such as Bangladesh."
"P034","Nils Olson, Renate Oberhoffer, Barbara Reiner, Thorsten Schulz (2025)","Societies (MDPI)","University students | Germany (Technical University of Munich)","1,955","To examine the associations between university students' health behaviors (e.g., diet, physical activity, substance use) and their levels of perceived stress, burnout, and study engagement, positioning healthy lifestyle habits as potential protective resources.","Maslach Burnout Inventory Short Form for Students (MBI-SS).","None used.","Psychological metrics: Perceived Stress Scale (PSS-10), Utrecht Work Engagement Scale for Students (UWES-S 9), and MBI-SS. Behavioral metrics: Physical activity/sedentary behavior (IPAQ), alcohol consumption (AUDIT-C), BMI, smoking status, perceived subjective fitness, and perceived healthiness of diet.","None. The study relied on traditional inferential statistics, specifically Pearson's correlations, Student's t-tests, ANOVA (with Welch-ANOVA and GT2 Hochberg's post hoc), and Chi-square tests.","The correlational analysis revealed that self-perceived subjective fitness and perceived healthiness of diet had the strongest negative associations with stress and burnout, and positive associations with study engagement. Interestingly, objective volume of physical activity (measured by IPAQ METs) and daily sitting hours played a comparatively minor role with very small effect sizes.","None / Not Applicable. (Interpretability relies on standard white-box statistical test effect sizes like Cohen's d).","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The authors recommend that universities implement holistic behavioral prevention programs. Interventions should focus heavily on improving students' health literacy (specifically regarding diet and fitness) to bolster their psychological resilience against academic stress, moving beyond purely structural or academic interventions.","Utilizes a very large sample size; incorporates positive psychological frameworks (study engagement) alongside negative ones (burnout); systematically assesses a broad range of lifestyle factors using established tools (IPAQ, AUDIT-C).","Cross-sectional design prevents the establishment of causal relationships; relies entirely on students' subjective self-assessments of their fitness and dietary health, which the authors acknowledge may be heavily biased by underlying traits like self-esteem or depression.","Complete reliance on self-report questionnaires for behavioral tracking. The authors explicitly identify the need for ""more objective data on the physical fitness of students"" (e.g., utilizing passive digital logging or wearable physiological sensors rather than the IPAQ). Furthermore, there is an absence of predictive Machine Learning (ML) models or Explainable AI (XAI) frameworks; geographically, the study focuses on a high-income European nation, leaving gaps regarding LMICs such as Bangladesh."
"P035","Aguswan Khotibul Umam, Mochammad Irfan Achfandhy, Alfiyana Yuliasari, Ririn Jamiah (2026)","Islamic Guidance and Counseling Journal","University students at Islamic Higher Education Institutions (PTKIs) | Lampung, Indonesia","1,098","To investigate the associations between exposure to distinct categories of religious content on social media and levels of anxiety and academic burnout among university students.","Maslach Burnout Inventory–Student Survey (MBI-SS) for burnout, and the Social Anxiety Scale for Adolescents (SAS-A) for anxiety.","None used.","A custom ""Religious Content Exposure Questionnaire"" assessing exposure to five types of content: compassion–tranquility, educational, inspirational–motivational, fear–punishment, and ritual–worship. Demographic/usage variables included age, institution type, primary social media platform (TikTok, Instagram, YouTube, Facebook), frequency of use, and daily duration.","None. The study relied on traditional inferential statistics, specifically hierarchical multiple regression testing for linear, quadratic, and interaction effects via SPSS.","The hierarchical regression models explained a modest amount of variance for both Anxiety (R² = 0.037) and Burnout (R² = 0.079). Notably, motivational content predicted lower anxiety, while fear/punishment content predicted higher anxiety. For burnout, longer daily social media duration was a positive predictor, and complex curvilinear patterns emerged regarding compassion and fear content.","None / Not Applicable. (Interpretability relies on standard white-box regression coefficients).","No algorithmic personalized recommendations were generated.","Not an actionable technological system. The study recommends non-technical interventions for universities: strengthening digital literacy education and curating/promoting motivational, skills-oriented religious content while limiting fear-based framing to foster emotional resilience among students.","Highly novel approach that differentiates between specific types of religious content consumed on social media, rather than treating ""religiosity"" as a single, monolithic protective factor; large sample size (N=1,098); captures the nuances of algorithmically curated content in an LMIC context (Indonesia).","The cross-sectional design precludes establishing causal direction (e.g., do anxious students seek out fear-based content, or does the content cause anxiety?); self-report measures for content consumption are highly susceptible to recall bias.","Complete reliance on subjective self-reporting for digital behavior. The study highlights the need to understand algorithmic curation but fails to use objective passive digital logging (e.g., tracking actual screen time, video watch-time, or app usage patterns) to verify content exposure; complete absence of predictive Machine Learning (ML) models or Explainable AI (XAI) frameworks; geographically limited to Indonesia, leaving gaps regarding other LMICs like Bangladesh."
"P036","Neva Vidović, Maja Vidović, Ana Havelka Meštrović (2026)","Sustainability, Organization, Business and Economic Research (SOBER) / CIBES 2025 Conference","Undergraduate students enrolled in an international business program | Croatia","223","To explore the prevalence and profile of burnout and anxiety among university students navigating the specific stressors of an international, cross-cultural academic environment.","Maslach Burnout Inventory (MBI) (utilizing the 22-item occupational version) and the Anxiety Screening Questionnaire (ASQ).","None used.","Self-reported burnout dimensions (emotional exhaustion, depersonalization, reduced personal achievement), anxiety levels, and demographic data limited to gender.","None. The study relied exclusively on traditional inferential and descriptive statistics, specifically independent samples t-tests and Pearson correlations using IBM SPSS.","The statistical analysis revealed a high prevalence of moderate to severe burnout (55.5%) and anxiety (52.6%). Burnout and anxiety were strongly correlated (r = 0.609, p < .001). Female students reported significantly higher emotional exhaustion than male students (p = .001, Cohen's d = 0.55).","None / Not Applicable. (Interpretability relies on standard white-box statistical tests).","No algorithmic personalized recommendations were generated.","Not an actionable technological system. The study provides structural recommendations for academic institutions: rebuilding academic confidence through constructive feedback and mentoring programs; prioritizing accessible mental health services (counseling and therapy); and actively encouraging healthy social connections (e.g., student clubs) to combat the isolation frequently experienced by international students.","Focuses on a unique subpopulation (international students studying abroad) facing distinct cross-cultural adaptation stressors; explicitly differentiates between the constructs of chronic burnout and general anxiety.","Cross-sectional design prevents the establishment of causal relationships; the sample size is relatively small and drawn from a single college in Croatia, limiting broad generalizability; the study utilized the occupational MBI rather than the student-specific MBI-SS, which the authors justify but remains a methodological limitation.","Complete reliance on subjective self-report questionnaires, which the authors acknowledge could lead to inflated perceptions of burnout. There is a total absence of objective behavioral data or passive digital logging to corroborate these high stress levels; lack of predictive Machine Learning (ML) models or Explainable AI (XAI) frameworks; geographically centered in an upper-middle-income EU country (Croatia), leaving gaps regarding LMICs such as Bangladesh."
